alpha,unexpectedness,relevance,serendipity,crowding_distance,is_knee
0.0,0.2188376274675593,4.626783380967431,0.3387122277979116,inf,False
0.0,0.2188376274675593,4.626783380967431,0.3387122277979116,0.0540513214604372,False
0.0920856583811157,0.25316311933492686,4.615863560863807,0.3790191520350785,0.10826427433430286,False
0.13370604211488246,0.2867203479317145,4.603706868044692,0.41487865831849985,0.10818633148112561,False
0.16170199001867636,0.31717812807429546,4.587523286779222,0.4434632210730124,0.10691516689741393,False
0.17460143003348652,0.34172942961303077,4.564286967112242,0.46232479649700325,0.10591888551715221,False
0.18435772842975107,0.365096571080697,4.539375151527885,0.4790683627847418,0.10624029823893663,False
0.1927390621735957,0.3880367817923062,4.513563983499487,0.49484491024216337,0.10775139134275677,False
0.20044123537929512,0.41115952205051,4.4866820590571725,0.5102665838415472,0.11029163636418936,False
0.20772642518770013,0.43459521426200437,4.458812216344669,0.5254989011322537,0.11381729842137413,False
0.21484870052608016,0.4587688824395646,4.429575267460465,0.5408474921472372,0.11642177019117109,False
0.22168488412591117,0.48295880513351985,4.399935153588903,0.5558706015766289,0.11731680604960262,False
0.22833258796225106,0.5072394243040712,4.3698793359443115,0.5706309653500011,0.11660927796077956,False
0.23466982180496085,0.5309316573230425,4.340315277910222,0.5847333243369583,0.11382763629190894,False
0.24071800315773184,0.5539088637785622,4.311461733873759,0.5981268601628984,0.11103496321370178,False
0.24656203317485764,0.5763332489486338,4.283161040893437,0.6109238118607715,0.1090692934471858,False
0.25214515346733507,0.5983413353712228,4.255090649886439,0.623139543481585,0.11066521589969004,False
0.25687662580500775,0.6207311817873746,4.225018401951551,0.6347971900322752,0.11352270366655168,True
0.26098077139743536,0.6429396973426839,4.194138700249513,0.645861099045621,0.11656646381319129,False
0.2648915265977104,0.6658734319428131,4.161530850480963,0.6569501797644453,0.11715400262013181,False
0.2684691666813981,0.6878724360218724,4.129726837723121,0.6673470481992566,0.11574822363489148,False
0.27197227370428656,0.7099213138732259,4.097413900528427,0.6775724192891939,0.11307660013212714,False
0.27524775162367615,0.7306254474104277,4.066705139280428,0.6870147144300172,0.1062485585116312,False
0.2783263810978937,0.7498551351139701,4.037869207628535,0.6956516785603465,0.10275245666178218,False
0.2814796715692695,0.7690218256389741,4.008810829563913,0.7041299474446436,0.0999453924045663,False
0.28456749303456697,0.7869848682781445,3.981255470365362,0.7119469461192042,0.1024689970641014,False
0.28822049963412216,0.8068175488614251,3.9503921563247726,0.7204062379117853,0.10443083619475343,False
0.2919843979969006,0.8251764622503106,3.92126514035618,0.7280256021451981,0.09928037800647292,False
0.2962136285432537,0.8426632331774252,3.892721242850836,0.7349866530277543,0.09729275364528414,False
0.3016773422643041,0.859521371778998,3.8636659657800694,0.7411433796662468,0.09856995806418915,False
0.3082602450659949,0.8766065010304012,3.833187169706112,0.7470901140224214,0.09905995812194462,False
0.31527968687236835,0.893147558059324,3.8031641967775287,0.7527684549366903,0.10100879124465667,False
0.32361436633196305,0.9105006009340404,3.7709508636182014,0.7585848003495621,0.1049031609671183,False
0.3334991301273588,0.9277979098947701,3.7377671620551114,0.7641187669215848,0.10721129710985217,False
0.34648828550607513,0.9449805808043054,3.7028251744396186,0.769015821098495,0.1084827514083899,False
0.3648045270640467,0.9611885965444673,3.666761957944413,0.7726930131802026,0.10768295689755372,False
0.39053351157836136,0.9766060733331755,3.6302430860838077,0.7758221518174468,0.10667579842354127,False
0.4429919457533343,0.9900723167117293,3.5914766336286834,0.7765056854249636,0.10733289452103788,False
1.0,1.0,3.5466571863530265,0.7742638481847263,0.05420349977450284,False
1.0,1.0,3.5466571863530265,0.7742638481847263,inf,False
