alpha,serendipity,avg_distance,avg_cf_score,diversity_ild,n_users
0.0,0.3387122277979116,0.2188376274675593,4.626783380967431,0.8095885475201307,1257
0.15,0.43023289302213946,0.30206436029188605,4.597712660746244,0.8080588071876854,1257
0.25,0.6183534461617046,0.5895825370120784,4.266384719891878,0.7694916299411129,1257
0.3,0.7395348053314119,0.8549276596867289,3.8717828008800437,0.7119321429623736,1257
0.35,0.7698560733843709,0.9485226432423127,3.695130701689087,0.6753766210806783,1257
0.4,0.776175467943761,0.9799438454679014,3.621312132940088,0.6636680935964946,1257
0.5,0.7766500241090373,0.9966151445321648,3.569804992368512,0.6458381634276622,1257
0.65,0.7756727662853875,0.9996567761793721,3.5551367012583843,0.6616149562450279,1257
0.75,0.7753970836609697,0.9999233388104132,3.552818514054601,0.6630864197530865,1257
0.85,0.775249581355791,0.9999922957890738,3.551764815822896,0.658268363829223,1257
1.0,0.7742638481847263,1.0,3.5466571863530265,0.6498834463512267,1257
