mean_serendipity,mean_relevance,mean_alpha,std_alpha
0.8019017982512147,2.332276660938756,0.17463021893872632,0.23143349331550533
0.8104215564284071,2.325383522351173,0.18337480351560478,0.23173787007275345
0.8258027350950925,2.3241308716028684,0.19904572740072787,0.239943618502246
0.8428666061605371,2.3237038445625835,0.21785619983263074,0.2540071747913198
0.8445009274710702,2.322533975120424,0.20470530828012223,0.22519095230000172
0.8518668284231842,2.3197897847941764,0.21545538749291573,0.23033374355515096
0.8520118378779871,2.3185203111263295,0.24243132438633708,0.25327688881374566
0.860392039038381,2.3179514244009374,0.2232046151054595,0.24809704968950005
0.8796863155428586,2.3171019996403937,0.21014172487932647,0.21185909036087752
0.886262693657618,2.309463893989579,0.27382252733028845,0.25017270220698384
0.8921493832138944,2.3084183650060752,0.23471331269301615,0.23619710399974514
0.9069511952390988,2.306820431238377,0.25706748497416054,0.23196439779074285
0.9189470358955915,2.3047097699686008,0.28801806497992677,0.24389644387647438
0.9331305046848732,2.3007191929616475,0.28663770819438894,0.2202524106805948
0.934338024288855,2.2949252536196543,0.31366485413740347,0.24104457914554756
0.9420428280901574,2.291067390783364,0.32590731379629995,0.2636504099357663
0.9421167641563213,2.2864838455294834,0.33877554196969106,0.25016299274176773
0.9424537793931786,2.2838703543606833,0.35654264489050264,0.24342347629187172
0.9454182348049938,2.2824311170062095,0.3671223743378955,0.23484461760580136
0.954580873139991,2.2823755834681543,0.34684587569835384,0.2406960172441489
0.9575299827737127,2.274677561848534,0.3906580367846261,0.25048574330130186
0.9588939855268646,2.2699756705050915,0.3956491192228001,0.2550602668209341
0.9724072473428502,2.2690717962476565,0.42659757969983625,0.2378555403972684
0.9797094731992811,2.261949892121684,0.4588944235932809,0.22658852201223179
