alpha,unexpectedness,relevance,serendipity,crowding_distance,is_knee
0.0,0.7310744371769806,2.3734073461003415,0.6020000000000001,inf,False
0.007350705425998319,0.7463269587509658,2.370765902708359,0.6302417714972521,0.11907137672527557,False
0.014698301323725179,0.7612626150139564,2.3681584556755575,0.6579486091956918,0.11584637790080203,False
0.021957369915136186,0.7756819735500151,2.3656147127286378,0.6847295993284765,0.11171574621671605,False
0.029120123798150377,0.78955182209294,2.3631361851485195,0.7105025994143092,0.10729121223526596,False
0.036170969157524546,0.8028282743511215,2.3607269144091974,0.7351671362410351,0.09627433208911902,False
0.04221420488904065,0.813888257359184,2.3586860574884247,0.7556955850231852,0.08980826873010825,False
0.048754811973325735,0.825504587014848,2.356502320908386,0.7772231340612621,0.09346709130623683,False
0.05572756911331129,0.8374582627877867,2.354203027525493,0.7993204464300407,0.09699565135463832,False
0.06331174380565163,0.8499244983232208,2.351735783511063,0.8222778245666176,0.0996776033037084,False
0.0713580729713707,0.8625016533880764,2.34915655601523,0.8453106763696872,0.09932221702307382,False
0.07971528254310756,0.8748130111797298,2.346519502981738,0.8676798817022607,0.10050580381166077,False
0.08904791963285727,0.8875983703036538,2.343625046755642,0.8906456642061982,0.09803312531064723,False
0.09828025696278675,0.8991840030596475,2.340814023493664,0.9111177103143462,0.09301113678587805,False
0.10838385741113263,0.9105761485027744,2.3377973827050837,0.9307716579982539,0.0912664575935148,False
0.11958172061450398,0.921532126213177,2.334526896032119,0.9489507261435934,0.08978351062288498,False
0.13306749109500204,0.9322389719385386,2.330689926422196,0.9654245557110838,0.08836798403342737,False
0.1515830652958961,0.942179978914346,2.3256032481318947,0.9775764959268299,0.0856204951003401,False
0.17754043581752532,0.9511361170954191,2.318869080908804,0.9858614119617538,0.08454019653345986,False
0.21208521919721202,0.9596604682342995,2.3105579340351654,0.9935931909816098,0.0864066950095178,False
0.25799894504525855,0.9679072847359784,2.300355531212905,0.9984898365522394,0.0871366343058064,False
0.3180440955742445,0.97535990472085,2.2884136286335353,1.0,0.08758618148107308,False
0.40130403438568096,0.9820631794102289,2.273445439412942,0.9999997312241085,0.0906671018332008,True
0.4730829464283892,0.9880566169643019,2.254953099014861,0.9993813193917817,0.09410498910695234,False
0.5782748589204121,0.9931222856000365,2.2326487210213255,0.9973565614361756,0.0959554028579746,False
0.7035217252186796,0.9968708618504003,2.2063038150559233,0.9922792296911874,0.09652915752018253,False
0.8509778181127732,0.9991203074956975,2.1754939369491884,0.9777556601986789,0.09738102145119687,False
0.8799229620590783,0.9993524373191458,2.1384244304706526,0.9310332394041276,0.10236088875845244,False
0.8961392862151543,0.9994750975747119,2.0976903464610346,0.8745215285683855,0.10653406155250335,False
0.9088372715323966,0.9995658991469141,2.057002766981596,0.8169827991621766,0.10985172945988533,False
0.9204756936001042,0.9996442434102055,2.013587137427186,0.7550327628185153,0.1132368839653025,False
0.9308922880513819,0.9997098248422137,1.9702207238958434,0.6928357180485222,0.11134174968338782,False
0.9402003938322614,0.9997643828120008,1.9281962695790922,0.6323830422933583,0.10897044993045955,False
0.9488552974691945,0.9998113670949421,1.8866025441309213,0.5724440193308727,0.11194994083767243,False
0.9576179903664426,0.9998549639466714,1.8422524508885147,0.5084667876969495,0.1151805351257929,False
0.9659610573004723,0.9998924916157805,1.7981440408928098,0.4448076581907648,0.12000460651808027,False
0.9747252058758406,0.9999274491302392,1.7500546012828146,0.37540178782279143,0.12108414782098459,False
0.9826720563312776,0.9999549510881865,1.7050862211943836,0.31052481132162424,0.1256061559507436,False
0.9915578812693965,0.999980699244397,1.65348839644181,0.23613928828735897,0.13223537496012117,False
1.0,1.0,1.6033919330108466,0.16399999999999987,inf,False
