EXPERIMENT 2 — MULTI-OBJECTIVE WEIGHTED SCALARIZATION (IDUN)
Users: 5,000  |  Alpha values: [0.0, 0.15, 0.25, 0.3, 0.35, 0.4, 0.5, 0.65, 0.75, 0.85, 1.0]
Serendipity metric: harmonic mean of U=distance and R=(cf_score-1)/4

 alpha  serendipity  avg_distance  avg_cf_score  diversity_ild  n_users
0.0000       0.6669        0.9555        3.0819         0.8266     5000
0.1500       0.6679        0.9622        3.0796         0.8305     5000
0.2500       0.6679        0.9674        3.0743         0.8330     5000
0.3000       0.6674        0.9703        3.0700         0.8335     5000
0.3500       0.6668        0.9731        3.0644         0.8342     5000
0.4000       0.6657        0.9761        3.0573         0.8349     5000
0.5000       0.6623        0.9823        3.0371         0.8343     5000
0.6500       0.6538        0.9903        2.9929         0.8271     5000
0.7500       0.6456        0.9947        2.9518         0.8173     5000
0.8500       0.6334        0.9984        2.8908         0.7974     5000
1.0000       0.2396        1.0000        1.5647         0.7122     5000

Best serendipity: α=0.15 → 0.6679
