Method,Alpha,RMSE,MAE,Diversity (ILD),Serendipity,Coverage,Avg Distance,Avg CF Score
Pure CF (α=0.0),0.0,0.8191179371380207,0.6366519436160413,0.7613126984126984,0.593,814,0.8005869047619049,2.011154782876312
CF-Biased (α=0.25),0.25,0.8191179371380207,0.6366519436160413,0.6991111111111113,0.653,868,0.9700202380952382,1.9341968062996429
Balanced (α=0.5),0.5,0.8191179371380207,0.6366519436160413,0.6212592592592593,0.572,890,0.9997571428571429,1.876673001853916
Distance-Biased (α=0.75),0.75,0.8191179371380207,0.6366519436160413,0.6194814814814815,0.571,890,1.0,1.8756783459009247
Pure Distance (α=1.0),1.0,0.8191179371380207,0.6366519436160413,0.6693333333333333,0.251,996,1.0,1.6085424724023756
