user_id,track_id,distance,rating,distance_bin
96374895,1869698,0.46256926406926413,5,[0.4-0.5)
96374895,418320,0.602629644864939,1,[0.6-0.7)
96374895,5008759,0.6701378621378621,5,[0.6-0.7)
96374895,5008779,0.478445498945499,5,[0.4-0.5)
96374895,5008772,0.7140074705995758,5,[0.7-0.8)
96374895,440044,0.766398545898546,1,[0.7-0.8)
96374895,5008777,0.6198824606765784,5,[0.6-0.7)
96374895,5008756,0.6737505827505827,5,[0.6-0.7)
96374895,310770,0.4318737373737374,1,[0.4-0.5)
96374895,5008765,0.6147302697302697,5,[0.6-0.7)
96374895,5008796,0.6903517218076041,1,[0.6-0.7)
96374895,5008827,0.4486141081141081,1,[0.4-0.5)
96374895,310787,0.48648440448440444,1,[0.4-0.5)
422303187,165248,0.8700819964349376,1,[0.8-0.9)
422303187,91562,0.5823805083805085,5,[0.5-0.6)
422303187,54645,0.529157425907426,1,[0.5-0.6)
422303187,32290,0.48805273647920716,1,[0.4-0.5)
422303187,3453232,0.5290104372751432,1,[0.5-0.6)
422303187,432410,0.7965340215340215,1,[0.7-0.8)
422303187,115568,0.6878840048840048,5,[0.6-0.7)
422303187,54650,0.5066317016317017,1,[0.5-0.6)
422303187,524887,0.49287168387168395,1,[0.4-0.5)
422303187,21322,0.6647842157842159,1,[0.6-0.7)
422303187,1535949,0.8356688311688312,1,[0.8-0.9)
422303187,36478,0.7435384615384616,1,[0.7-0.8)
539231079,10617,0.750436285936286,1,[0.7-0.8)
539231079,46835,0.6185001942501942,1,[0.6-0.7)
539231079,1525807,0.587030414030414,1,[0.5-0.6)
539231079,3195306,0.772002442002442,1,[0.7-0.8)
539231079,261099,0.5779938394938395,1,[0.5-0.6)
539231079,205110,0.6041164449585503,1,[0.6-0.7)
539231079,3195291,0.7270802530802531,1,[0.7-0.8)
539231079,3195246,0.8428333333333333,1,[0.8-0.9)
539231079,3195272,0.7575894938394938,1,[0.7-0.8)
539231079,255104,0.7237289377289378,1,[0.7-0.8)
863845052,187310,0.32291666666666674,1,[0.3-0.4)
863845052,246109,0.48276223776223776,1,[0.4-0.5)
863845052,815273,0.3545576923076923,1,[0.3-0.4)
863845052,89129,0.33176923076923076,1,[0.3-0.4)
863845052,178072,0.5368867358132065,1,[0.5-0.6)
863845052,4746473,0.5088419913419914,1,[0.5-0.6)
863845052,590195,0.461496336996337,5,[0.4-0.5)
863845052,246110,0.43273310023310024,1,[0.4-0.5)
863845052,4746464,0.4813636363636364,1,[0.4-0.5)
863845052,2221522,0.4458100233100233,5,[0.4-0.5)
863845052,952241,0.5415959595959596,1,[0.5-0.6)
863845052,1792875,0.5337121212121212,1,[0.5-0.6)
863845052,815325,0.3565304695304695,1,[0.3-0.4)
863845052,4746532,0.5646464646464647,1,[0.5-0.6)
863845052,4746455,0.32313186813186817,1,[0.3-0.4)
863845052,993869,0.38243181818181815,1,[0.3-0.4)
710411145,453138,0.2797732822732823,1,[0.2-0.3)
710411145,572391,0.2403701298701299,1,[0.2-0.3)
710411145,6470,0.30453707403707403,1,[0.3-0.4)
710411145,19385,0.8086825396825396,1,[0.8-0.9)
710411145,19379,0.25046825396825395,1,[0.2-0.3)
710411145,24681,0.6583830009859422,1,[0.6-0.7)
710411145,500624,0.3336608946608946,5,[0.3-0.4)
710411145,1089,0.7401157176157177,1,[0.7-0.8)
710411145,22534,0.2456616161616162,1,[0.2-0.3)
710411145,6436,0.9796736596736596,1,[0.9-1.0]
710411145,70240,0.8338841713841713,1,[0.8-0.9)
710411145,1116,0.24132323232323233,1,[0.2-0.3)
710411145,19423,0.26055966255966256,1,[0.2-0.3)
710411145,497199,0.26321284271284273,1,[0.2-0.3)
710411145,19379,0.1785620490620491,1,[0.1-0.2)
710411145,90533,0.6476190476190478,1,[0.6-0.7)
710411145,7661,0.3061212121212121,1,[0.3-0.4)
710411145,572391,0.3209711399711399,1,[0.3-0.4)
710411145,3704,0.21486075036075036,1,[0.2-0.3)
710411145,278211,0.3093706293706294,1,[0.3-0.4)
710411145,427565,0.17403030303030304,5,[0.1-0.2)
710411145,349843,0.3542323232323233,1,[0.3-0.4)
710411145,349843,0.29944155844155845,1,[0.2-0.3)
710411145,476750,0.2263080808080808,1,[0.2-0.3)
710411145,24681,0.6486269841269842,1,[0.6-0.7)
710411145,696,0.969052503052503,5,[0.9-1.0]
710411145,3703,0.2425,5,[0.2-0.3)
710411145,427564,0.2842676767676768,1,[0.2-0.3)
710411145,7798,0.22282251082251084,1,[0.2-0.3)
710411145,427579,0.31004329004329007,1,[0.3-0.4)
710411145,436879,0.14491125541125538,1,[0.1-0.2)
710411145,33791,0.6047394272394272,1,[0.6-0.7)
710411145,14163,0.2273383838383838,1,[0.2-0.3)
710411145,482531,0.11755555555555557,1,[0.1-0.2)
710411145,8782,0.28534776334776335,5,[0.2-0.3)
710411145,7975,0.27904040404040403,1,[0.2-0.3)
710411145,436969,0.1566190476190476,1,[0.1-0.2)
710411145,58113,0.20295743145743145,1,[0.2-0.3)
710411145,453071,0.3051859251859252,5,[0.3-0.4)
298794986,1823971,0.5493886113886114,1,[0.5-0.6)
298794986,15982,0.8883559773559773,1,[0.8-0.9)
298794986,1181494,0.716785864462335,1,[0.7-0.8)
298794986,142900,0.37928138528138533,1,[0.3-0.4)
298794986,222864,0.8190241702741703,1,[0.8-0.9)
298794986,307404,0.6264285714285714,1,[0.6-0.7)
298794986,36108,0.6144603174603174,1,[0.6-0.7)
298794986,37206,0.6027586726998492,1,[0.6-0.7)
