distance_bin,avg_rating,std_rating,sample_size,num_users
[0.0-0.1),1.3122,1.073,33815,4999
[0.1-0.2),1.5182,1.3432,16257,4479
[0.2-0.3),1.4811,1.3012,11441,4073
[0.3-0.4),1.5491,1.3766,8472,3674
[0.4-0.5),1.5308,1.357,7250,3382
[0.5-0.6),1.5314,1.3578,6217,3071
[0.6-0.7),1.5889,1.4175,5719,2853
[0.7-0.8),1.6627,1.4873,5269,2693
[0.8-0.9),1.7193,1.5363,4321,2379
[0.9-1.0),1.5688,1.397,15929,5000
