alpha,serendipity,avg_distance,avg_cf_score,diversity_ild,n_users
0.0,0.9611225457115293,0.9262208508253097,5.0,0.7586666666666666,50
0.15,0.970164810339167,0.9424888447523116,4.999842701911927,0.7561111111111112,50
0.25,0.9703097673126808,0.9428063272237779,4.999526554107666,0.7491851851851853,50
0.3,0.9706763201033489,0.9438525677919389,4.997864548683166,0.7434074074074075,50
0.35,0.9707632006396963,0.9441303454637527,4.997376635551452,0.7465185185185186,50
0.4,0.9708848126379783,0.9446160597801208,4.996299329757691,0.7559999999999999,50
0.5,0.9710804976484759,0.9471947445869446,4.987569297790527,0.7551851851851852,50
0.65,0.9674958515509392,0.9613157556056977,4.905268082618713,0.6874814814814816,50
0.75,0.9529093332028169,0.9802929688692091,4.724932397842408,0.4011851851851852,50
0.85,0.9443444194693863,0.9854542431831359,4.645962003231049,0.35785185185185175,50
1.0,0.7623546805211925,0.9868888826370239,3.565877491235733,0.34659259259259256,50
