Method,Alpha,RMSE,MAE,Diversity (ILD),Serendipity,Coverage,Avg Distance,Avg CF Score
Pure CF (α=0.0),0.0,0.8191035853164567,0.6347249288692505,0.7473222222222223,0.6000000000000001,794,0.7979952380952382,2.0118511620228317
CF-Biased (α=0.25),0.25,0.8191035853164567,0.6347249288692505,0.7083888888888887,0.638,854,0.9706476190476191,1.9347162599201657
Balanced (α=0.5),0.5,0.8191035853164567,0.6347249288692505,0.6253148148148149,0.562,892,0.9997321428571428,1.8785070660638503
Distance-Biased (α=0.75),0.75,0.8191035853164567,0.6347249288692505,0.6242037037037037,0.561,892,1.0,1.8773823341536582
Pure Distance (α=1.0),1.0,0.8191035853164567,0.6347249288692505,0.6693333333333333,0.252,996,1.0,1.607512105722653
