alpha,serendipity,avg_distance,avg_cf_score,diversity_ild,n_users
0.0,0.6169351155574775,0.6788186430931091,3.3617299389839177,0.6992176366843035,50
0.15,0.6169351155574775,0.6788186430931091,3.3617299389839177,0.6992176366843035,50
0.25,0.6169351155574775,0.6788186430931091,3.3617299389839177,0.6992176366843035,50
0.3,0.6169351155574775,0.6788186430931091,3.3617299389839177,0.6992176366843035,50
0.35,0.6169351155574775,0.6788186430931091,3.3617299389839177,0.6992176366843035,50
0.4,0.6169351155574775,0.6788186430931091,3.3617299389839177,0.6992176366843035,50
0.5,0.6747731661239139,0.9175678242444992,3.234410206794739,0.6646074074074074,50
0.65,0.7814308997444224,0.9868888826370239,3.6288766760826108,0.34659259259259256,50
0.75,0.7814308997444224,0.9868888826370239,3.6288766760826108,0.34659259259259256,50
0.85,0.7814308997444224,0.9868888826370239,3.6288766760826108,0.34659259259259256,50
1.0,0.7814308997444224,0.9868888826370239,3.6288766760826108,0.34659259259259256,50
