Method,Alpha,RMSE,MAE,Diversity (ILD),Serendipity,Coverage,Avg Distance,Avg CF Score
Pure CF (α=0.0),0.0,0.8148603822412557,0.5853730001490101,0.804574074074074,0.8870000000000001,833,0.8457161616161617,2.293853160491921
CF-Biased (α=0.25),0.25,0.8148603822412557,0.5853730001490101,0.7772592592592591,0.946,841,0.9247868686868688,2.2477469533297896
Balanced (α=0.5),0.5,0.8148603822412557,0.5853730001490101,0.6403703703703704,0.8119999999999998,891,0.9875621212121212,2.0982894225750037
Distance-Biased (α=0.75),0.75,0.8148603822412557,0.5853730001490101,0.5872962962962963,0.7510000000000001,903,0.9998888888888889,2.0319386935607398
Pure Distance (α=1.0),1.0,0.8148603822412557,0.5853730001490101,0.5933703703703704,0.18400000000000002,994,1.0,1.5420542086878408
