alpha,serendipity,avg_distance,avg_cf_score,diversity_ild,n_users
0.0,0.336920010042356,0.21741217363625764,4.6643738608360295,0.7998010582010583,50
0.15,0.4442007415735796,0.3157381855249405,4.627794258594513,0.7989275132275133,50
0.25,0.6270707419713993,0.5757142405360937,4.331633411407471,0.7832613756613757,50
0.3,0.7437016548183695,0.8412261750996113,3.9344589123725893,0.744131216931217,50
0.35,0.7760244985379684,0.9491064377427101,3.727640123844147,0.683010582010582,50
0.4,0.7834391647870853,0.9829806609749794,3.6489423751831054,0.6762962962962963,50
0.5,0.7845457370774753,0.9964902229309083,3.6072224197387697,0.6497111111111111,50
0.65,0.783878045785166,1.0,3.591572565078735,0.6521777777777779,50
0.75,0.783878045785166,1.0,3.591572565078735,0.6904518518518519,50
0.85,0.783878045785166,1.0,3.591572565078735,0.6703703703703703,50
1.0,0.7830350735184203,1.0,3.5873064332008364,0.698888888888889,50
